RespondentID,StartDate,EndDate,IP_Address,Pop_Code,Region,Family_Name,Given_Name,email,Collection_Date,Latitude,Longitude,Altitude,Pop_Size,Pct_Canopy_Cover,EarthTrek_name,Population_Type,Type_Other,Understory,Roadside,Hand_Removal,Herbicide,Mowing,Biocontrol,None_Known,Sampled_Before,NPlots,P1Ros,P1Adult,P1Ros0,P1Ros20,P1Ros40,P1Ros60,P1Ros80,P1Adult0,P1Adult20,P1Adult40,P1Adult60,P1Adult80,P1Fruits0,P1Fruits20,P1Fruits40,P1Fruits60,P1Fruits80,P1Leaves0,P1Leaves20,P1Leaves40,P1Leaves60,P1Leaves80,P1Dmg0,P1Dmg20,P1Dmg40,P1Dmg60,P1Dmg80,P2Ros,P2Adult,P2Ros0,P2Ros20,P2Ros40,P2Ros60,P2Ros80,P2Adult0,P2Adult20,P2Adult40,P2Adult60,P2Adult80,P2Fruits0,P2Fruits20,P2Fruits40,P2Fruits60,P2Fruits80,P2Leaves0,P2Leaves20,P2Leaves40,P2Leaves60,P2Leaves80,P2Dmg0,P2Dmg20,P2Dmg40,P2Dmg60,P2Dmg80,P3Ros,P3Adult,P3Ros0,P3Ros20,P3Ros40,P3Ros60,P3Ros80,P3Adult0,P3Adult20,P3Adult40,P3Adult60,P3Adult80,P3Fruits0,P3Fruits20,P3Fruits40,P3Fruits60,P3Fruits80,P3Leaves0,P3Leaves20,P3Leaves40,P3Leaves60,P3Leaves80,P3Dmg0,P3Dmg20,P3Dmg40,P3Dmg60,P3Dmg80,P4Ros,P4Adult,P4Ros0,P4Ros20,P4Ros40,P4Ros60,P4Ros80,P4Adult0,P4Adult20,P4Adult40,P4Adult60,P4Adult80,P4Fruits0,P4Fruits20,P4Fruits40,P4Fruits60,P4Fruits80,P4Leaves0,P4Leaves20,P4Leaves40,P4Leaves60,P4Leaves80,P4Dmg0,P4Dmg20,P4Dmg40,P4Dmg60,P4Dmg80,P5Ros,P5Adult,P5Ros0,P5Ros20,P5Ros40,P5Ros60,P5Ros80,P5Adult0,P5Adult20,P5Adult40,P5Adult60,P5Adult80,P5Fruits0,P5Fruits20,P5Fruits40,P5Fruits60,P5Fruits80,P5Leaves0,P5Leaves20,P5Leaves40,P5Leaves60,P5Leaves80,P5Dmg0,P5Dmg20,P5Dmg40,P5Dmg60,P5Dmg80,P6Ros,P6Adult,P6Ros0,P6Ros20,P6Ros40,P6Ros60,P6Ros80,P6Adult0,P6Adult20,P6Adult40,P6Adult60,P6Adult80,P6Fruits0,P6Fruits20,P6Fruits40,P6Fruits60,P6Fruits80,P6Leaves0,P6Leaves20,P6Leaves40,P6Leaves60,P6Leaves80,P6Dmg0,P6Dmg20,P6Dmg40,P6Dmg60,P6Dmg80,P7Ros,P7Adult,P7Ros0,P7Ros20,P7Ros40,P7Ros60,P7Ros80,P7Adult0,P7Adult20,P7Adult40,P7Adult60,P7Adult80,P7Fruits0,P7Fruits20,P7Fruits40,P7Fruits60,P7Fruits80,P7Leaves0,P7Leaves20,P7Leaves40,P7Leaves60,P7Leaves80,P7Dmg0,P7Dmg20,P7Dmg40,P7Dmg60,P7Dmg80,P8Ros,P8Adult,P8Ros0,P8Ros20,P8Ros40,P8Ros60,P8Ros80,P8Adult0,P8Adult20,P8Adult40,P8Adult60,P8Adult80,P8Fruits0,P8Fruits20,P8Fruits40,P8Fruits60,P8Fruits80,P8Leaves0,P8Leaves20,P8Leaves40,P8Leaves60,P8Leaves80,P8Dmg0,P8Dmg20,P8Dmg40,P8Dmg60,P8Dmg80,P9Ros,P9Adult,P9Ros0,P9Ros20,P9Ros40,P9Ros60,P9Ros80,P9Adult0,P9Adult20,P9Adult40,P9Adult60,P9Adult80,P9Fruits0,P9Fruits20,P9Fruits40,P9Fruits60,P9Fruits80,P9Leaves0,P9Leaves20,P9Leaves40,P9Leaves60,P9Leaves80,P9Dmg0,P9Dmg20,P9Dmg40,P9Dmg60,P9Dmg80,P10Ros,P10Adult,P10Ros0,P10Ros20,P10Ros40,P10Ros60,P10Ros80,P10Adult0,P10Adult20,P10Adult40,P10Adult60,P10Adult80,P10Fruits0,P10Fruits20,P10Fruits40,P10Fruits60,P10Fruits80,P10Leaves0,P10Leaves20,P10Leaves40,P10Leaves60,P10Leaves80,P10Dmg0,P10Dmg20,P10Dmg40,P10Dmg60,P10Dmg80,email_update,email_update_address,Day,Year,second_survey,P1RosFung,P1AdultFung,P1Fung0,P1Fung20,P1Fung40,P1Fung60,P1Fung80,P2RosFung,P2AdultFung,P2Fung0,P2Fung20,P2Fung40,P2Fung60,P2Fung80,P3RosFung,P3AdultFung,P3Fung0,P3Fung20,P3Fung40,P3Fung60,P3Fung80,P4RosFung,P4AdultFung,P4Fung0,P4Fung20,P4Fung40,P4Fung60,P4Fung80,P5RosFung,P5AdultFung,P5Fung0,P5Fung20,P5Fung40,P5Fung60,P5Fung80,P6RosFung,P6AdultFung,P6Fung0,P6Fung20,P6Fung40,P6Fung60,P6Fung80,P7RosFung,P7AdultFung,P7Fung0,P7Fung20,P7Fung40,P7Fung60,P7Fung80,P8RosFung,P8AdultFung,P8Fung0,P8Fung20,P8Fung40,P8Fung60,P8Fung80,P9RosFung,P9AdultFung,P9Fung0,P9Fung20,P9Fung40,P9Fung60,P9Fung80,P10RosFung,P10AdultFung,P10Fung0,P10Fung20,P10Fung40,P10Fung60,P10Fung80,CoverPic_Mean
1,Manual Entry,Manual Entry,REDACTED,BWPEM1,NorthAm,REDACTED,REDACTED,REDACTED,7/24/2009,37.373261,-80.524986,1156,300,85,REDACTED,Forest_Edge,Roadside,0,1,0,0,0,0,0,0,10,24,1,NA,NA,NA,9,16,NA,NA,NA,11,NA,NA,NA,NA,3,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,14,0,12,9,8,12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,26,33,34,NA,NA,NA,NA,NA,64,65,NA,NA,NA,42,19,NA,NA,NA,10,5,NA,NA,NA,10,5,4,1,14,NA,NA,14,7,38,NA,NA,NA,NA,5,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,18,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,2,5,3,6,1,NA,NA,5,30,NA,16,NA,57,7,NA,4,NA,12,2,NA,0,NA,0,2,NA,0,NA,0,19,4,5,11,4,15,6,49,NA,42,38,NA,10,NA,19,7,NA,0,NA,2,0,NA,0,NA,2,0,NA,31,3,10,11,11,18,10,NA,NA,40,34,37,NA,NA,13,7,4,NA,NA,7,3,0,NA,NA,7,3,0,NA,NA,204,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85
1,Manual Entry,Manual Entry,REDACTED,BWPEM2,NorthAm,REDACTED,REDACTED,REDACTED,7/25/2009,37.367053,-80.53314,1186,350,80,REDACTED,Forest_Edge,NA,0,0,0,0,0,0,0,0,10,2,1,5,NA,NA,NA,6,NA,NA,NA,65,NA,NA,NA,NA,64,NA,NA,NA,NA,15,NA,NA,NA,NA,15,NA,1,0,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,24,NA,NA,NA,NA,2,NA,NA,NA,NA,2,0,9,NA,NA,NA,NA,NA,76,71,74,NA,NA,24,14,17,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,9,2,9,NA,7,3,8,28,NA,37,NA,NA,5,NA,8,NA,NA,2,NA,1,NA,NA,2,NA,1,NA,NA,5,1,8,18,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,13,NA,NA,NA,NA,3,NA,NA,NA,NA,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,22,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,0,8,NA,NA,NA,NA,NA,NA,NA,83,78,50,NA,NA,45,15,9,NA,NA,5,1,0,NA,NA,5,1,0,2,17,NA,NA,NA,NA,3,95,63,85,36,67,32,15,13,6,25,6,1,0,0,0,6,1,0,0,0,0,7,NA,NA,NA,NA,NA,35,23,NA,41,20,6,7,NA,6,5,0,0,NA,0,0,0,0,NA,0,0,NA,NA,205,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
2,Manual Entry,Manual Entry,REDACTED,RMNM1,NorthAm,REDACTED,REDACTED,REDACTED,8/12/2009,44.030239,-79.530982,85,400,80,REDACTED,Roadside,NA,0,1,1,0,1,0,0,0,10,0,46,NA,NA,NA,NA,NA,148,123,119,165,131,126,28,25,104,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,NA,NA,NA,NA,NA,117,156,128,163,154,32,78,21,58,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,73,NA,NA,NA,NA,NA,162,144,144,167,144,91,48,38,63,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,60,NA,NA,NA,NA,NA,139,136,107,161,121,28,33,16,73,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,48,NA,NA,NA,NA,NA,156,164,164,140,140,56,64,74,44,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,71,NA,NA,NA,NA,NA,177,126,137,140,131,97,32,55,38,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,55,NA,NA,NA,NA,NA,138,127,144,129,124,38,34,57,33,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,62,NA,NA,NA,NA,NA,134,100,125,107,140,40,18,42,21,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,41,NA,NA,NA,NA,NA,95,110,156,152,137,15,18,61,84,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,69,NA,NA,NA,NA,NA,120,152,147,124,141,29,63,47,38,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
3,Manual Entry,Manual Entry,REDACTED,KVEDG1,NorthAm,REDACTED,REDACTED,REDACTED,8/8/2010,39.435278,-76.288333,2,140,NA,REDACTED,Forest_Edge,NA,0,0,0,0,0,0,0,0,10,0,12,NA,NA,NA,NA,NA,79,48,98,51,40,28,10,42,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,87,72,NA,NA,NA,60,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,8,76,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,NA,NA,NA,NA,NA,NA,NA,100,64,56,NA,NA,38,11,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,NA,NA,NA,NA,NA,NA,NA,78,92,80,NA,NA,18,35,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,87,65,NA,NA,NA,18,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,102,63,NA,NA,NA,35,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18,NA,NA,NA,NA,NA,113,90,79,99,105,57,20,17,31,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.58333333
3,Manual Entry,Manual Entry,REDACTED,KVEDG2,NorthAm,REDACTED,REDACTED,REDACTED,8/9/2010,39.4333,-76.299722,2,1000,NA,REDACTED,Forest_Understory,NA,1,0,0,0,0,0,0,0,10,13,1,4,23,8,13,3,NA,NA,NA,NA,93,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,NA,NA,NA,2,15,95,NA,96,59,NA,49,NA,48,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,7,NA,6,NA,NA,NA,81,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,2,NA,NA,70,59,NA,NA,NA,40,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,11,NA,7,NA,NA,NA,64,NA,NA,78,NA,14,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,0,1.5,6,5,1.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,0,6,8,3,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,1,3,7,1,2.5,1,NA,NA,NA,NA,66,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,0,4,5,7,21,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.988
4,6/8/2011__9:14:23_AM,6/8/2011__11:10:17_AM,REDACTED,AKPTC1,Europe,REDACTED,REDACTED,REDACTED,5/28/2011,46.41666667,15.86666667,232,10,70,REDACTED,Forest_Edge,NA,0,0,0,0,0,1,0,NA,10,2,18,15,NA,17,NA,NA,70,66,75,80,69,19,16,17,20,14,11,11,12,9,7,6,7,9,6,5,1,26,NA,16,NA,NA,NA,62,46,73,47,68,14,6,18,10,7,19,9,12,9,10,14,6,10,5,8,0,23,NA,NA,NA,NA,NA,39,63,57,61,74,12,18,14,14,19,10,6,14,6,16,10,4,10,2,9,0,27,NA,NA,NA,NA,NA,72,68,59,69,70,16,12,12,14,9,11,11,10,7,10,6,8,9,3,8,0,29,NA,NA,NA,NA,NA,86,58,70,63,60,21,14,17,10,13,13,8,14,8,11,11,7,14,5,7,0,21,NA,NA,NA,NA,NA,67,98,83,71,69,14,26,18,17,12,8,15,14,13,9,7,11,12,13,8,0,22,NA,NA,NA,NA,NA,60,74,76,69,66,10,13,17,12,15,8,7,14,11,8,4,7,11,10,3,0,27,NA,NA,NA,NA,NA,74,81,66,59,61,14,17,14,13,16,12,12,10,12,9,8,10,9,12,6,1,20,NA,NA,NA,NA,16,76,69,67,80,73,17,9,12,18,8,12,11,9,14,14,12,10,8,12,13,0,19,NA,NA,NA,NA,NA,58,71,73,69,64,10,12,17,9,13,9,13,12,9,11,7,13,11,8,7,NO,NA,147,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
5,1/24/2011__5:28:56_PM,1/24/2011__5:53:12_PM,REDACTED,AFNRA1,Europe,REDACTED,REDACTED,REDACTED,8/18/2010,48.26102778,18.03302778,209,120,50,REDACTED,Forest_Understory,NA,1,0,0,0,0,0,1,NA,10,4,0,NA,5,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,0,NA,24,7,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,NA,NA,8,10,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,0,16,NA,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,0,11,8,9,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,0,8,9,8,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,NA,14,10,8,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,10,16,7,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES,sandfeher@gmail.com,229,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.88
6,12/6/2010__9:41:54_PM,12/6/2010__10:03:56_PM,REDACTED,CBMCK1,NorthAm,REDACTED,REDACTED,REDACTED,7/7/2009,40.04498333,-105.2325,1606.9,50,95,REDACTED,Forest_Edge,NA,0,0,0,0,0,0,0,NA,10,0,110,NA,NA,NA,NA,NA,106.6,63.5,103.8,110,103.8,35,7,20,29,15,7,4,1,8,8,3,4,1,6,8,0,95,NA,NA,NA,NA,NA,115,130,112.5,116.5,132,39,56,28,17,43,11,9,6,10,7,6,3,6,10,7,0,90,NA,NA,NA,NA,NA,124.6,133.2,123.9,123.2,102.2,12,40,36,41,10,4,14,8,9,1,4,14,8,9,1,63,33,7,8,16,18,8,133,57,95.3,93.5,95.2,32,1,15,15,50,6,4,5,8,13,5,1,5,8,10,115,8,13,13.5,17.5,23.3,16,87,79.1,96.4,97,82.2,42,29,25,47,15,14,31,10,22,2,14,13,6,12,2,97,28,29,21.5,21.7,22.8,24.2,92.7,NA,94.6,85.1,103.1,24,NA,22,14,40,5,NA,0,4,15,4,NA,0,4,12,7,45,6.2,4.5,5.5,20.1,13.8,83,31.2,79.2,100.6,87.8,12,17,6,18,14,8,14,6,6,9,2,5,6,4,8,NA,NA,11,17,38,8.6,5,101.1,94.8,92.2,108.8,106.3,15,20,23,86,30,10,9,9,29,10,4,9,9,20,9,11,20,17,12,14.6,16.8,8.8,93.7,109.2,111.6,107.8,90,10,37,39,34,20,7,15,13,13,17,5,9,13,13,12,0,7,NA,NA,NA,NA,NA,98,49,NA,60.5,53.5,22,6,NA,10,21,15,5,NA,4,30,11,5,NA,4,13,YES,Cynthia.S.Brown@colostate.edu,187,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.94
6,12/6/2010__8:12:13_PM,12/6/2010__9:41:43_PM,REDACTED,CBBOU1,NorthAm,REDACTED,REDACTED,REDACTED,7/24/2009,40.046969,-105.259879,1641.6,52,98,REDACTED,Other(Specify),Riparian_understory,1,0,0,0,0,0,1,NA,10,0,10,9.1,5,NA,11.2,5.5,28.2,32.2,26.6,30,45.3,3,8,3,6,12,6,17,5,7,10,3,9,5,7,7,8,16,4.7,6.5,2.5,4.7,2.2,38.2,30,34.5,44.5,26,13,2,3,8,4,28,6,9,8,6,4,1,3,6,5,34,21,9,4,2.5,2.1,3.3,47,43.8,52.5,35.1,52,11,11,20,6,12,9,5,11,9,10,3,3,6,3,2,67,52,4.6,1.2,1.7,10.5,3.2,53.8,62.5,45,37.8,42.8,10,11,7,8,5,18,9,4,9,4,3,5,4,5,4,5,123,10,3.8,9,1.2,3.4,42.7,58,31.3,67.8,49,6,16,2,31,5,0,17,5,14,12,0,6,4,2,1,36,88,2.7,2.9,5.6,1.7,1.8,33.9,56,50.3,45.6,27.4,4,13,11,8,4,3,10,7,5,3,1,3,4,5,2,83,17,3.2,10.7,13.8,1.7,2.9,29.1,50.2,26,45,43.4,3,26,6,9,18,0,18,9,6,14,0,4,3,1,4,127,9,5.4,1.5,2.7,2.5,4.4,38.2,32.2,23.5,32,32.6,7,3,4,14,5,13,4,8,19,5,0,3,2,5,5,62,15,4.4,10.3,6.4,4.4,8.3,33.7,47.1,81.5,41.3,33,12,22,96,17,10,19,20,65,15,9,4,3,3,4,3,61,6,7.7,2,6.5,3.1,2,30.6,38.5,74,19.5,29.5,13,10,32,3,8,11,5,9,4,5,2,5,9,2,4,YES,Cynthia.S.Brown@colostate.edu,204,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.2
7,11/29/2010__1:01:19_PM,11/29/2010__3:36:28_PM,REDACTED,MSFRE2,Europe,REDACTED,REDACTED,REDACTED,7/29/2010,47.933725,7.871013889,536,60,40,REDACTED,Forest_Edge,Roadside_(forest_road)_two_flowerings_per_plant_(after_long_summer_drought_and_rainfall_thereafter_fruit_number_is_the_sum_of_the_two_flowering_events),0,1,0,0,0,0,1,NA,10,0,14,NA,NA,NA,NA,NA,136,139,136,146,126,72,104,130,120,62,43,10,27,31,14,3,8,1,2,2,0,16,NA,NA,NA,NA,NA,133,120,125,110,124,110,51,90,68,61,39,12,31,26,28,6,3,2,3,3,0,17,NA,NA,NA,NA,NA,136,119,131,149,115,79,60,85,114,61,37,27,34,61,20,2,1,1,5,0,0,6,NA,NA,NA,NA,NA,141,137,139,NA,117,69,53,105,NA,52,30,16,45,NA,17,1,1,3,NA,3,0,20,NA,NA,NA,NA,NA,148,141,107,147,133,108,110,25,65,61,34,62,11,20,15,0,4,2,2,0,0,18,NA,NA,NA,NA,NA,108,110,116,140,109,26,43,23,113,27,12,15,15,47,18,1,0,1,2,2,0,26,NA,NA,NA,NA,NA,123,150,116,141,108,44,78,33,55,33,16,33,20,20,29,1,2,1,2,1,0,2,NA,NA,NA,NA,NA,NA,116,NA,NA,104,NA,59,NA,NA,24,NA,19,NA,NA,13,NA,2,NA,NA,2,0,5,NA,NA,NA,NA,NA,NA,141,127,120,NA,NA,53,47,21,NA,NA,17,16,14,NA,NA,1,3,0,NA,0,14,NA,NA,NA,NA,NA,143,106,142,128,136,60,20,74,24,46,14,14,18,17,20,0,1,0,3,1,NA,NA,209,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.72
