"Reference","Species","Trait","Garden","Range","PC1SD","LatSD"
"Bossdorf et al. (2004 - Divers Distrib)","Alliaria petiolata","defence",1,"I",0.539904852,1.467035938
"Cipollini et al. (2005)","Alliaria petiolata","defence",1,"I",1.476593916,0.408588357
"Leger and Forister (2005)","Eschscholzia californica","defence",1,"I",0.734633253,1.608897481
"Muller and Martens (2005)","Lepidium draba","defence",1,"I",2.422261528,1.641378692
"Willis et al. (1999)","Lythrum salicaria","defence",1,"I",1.884935087,3.566783486
"Franks et al. (2007)","Melaleuca quinquenervia","defence",1,"I",0.771331728,0.333333136
"Siemann and Rogers (2001)","Sapium sebiferum","defence",1,"I",0.187549491,0.94978945
"Joshi and Vrieling (2005)","Senecio jacobaea","defence",1,"I",0.665069245,3.649200826
"Stastny et al. (2005)","Senecio jacobaea","defence",1,"I",0.844657494,3.042366738
"Handley et al. (2008)","Senecio vulgaris","defence",1,"I",0.959876022,4.814908542
"Wolfe et al. (2004)","Silene latifolia","defence",1,"I",1.309094937,5.617953676
"Hull-Sanders et al. (2007)","Solidago gigantea","defence",1,"I",0.940981195,2.266278088
"Meyer et al. (2005)","Solidago gigantea","defence",1,"I",1.722010544,2.205947642
"Willis et al. (1999)","Lythrum salicaria","growth",1,"I",0.885479997,2.912314211
"Franks et al. (2007)","Melaleuca quinquenervia","growth",1,"I",1.062016629,0.333333136
"Kaufman and Smouse (2001)","Melaleuca quinquenervia","growth",1,"I",1.200811399,0.366919103
"Lavergne and Molofsky (2007)","Phalaris arundinacea","growth",1,"I",0.739275285,5.011661401
"Handley et al. (2008)","Senecio vulgaris","growth",1,"I",0.952327786,4.814908542
"Wolfe et al. (2004)","Silene latifolia","growth",1,"I",0.719779436,5.481067894
"van Kleunen and Schmid (2003)","Solidago canadensis","growth",1,"I",1.058958916,2.413308651
"Schlaepfer et al. (2010)","Solidago gigantea","growth",1,"I",1.298596359,2.942603889
"Maron et al. (2004)","Hypericum perforatum","physiology",1,"I",1.081138269,2.636055363
"Cripps et al. (2009)","Lepidium draba","physiology",1,"I",1.096569921,2.228022172
"Ross and Auge (2008)","Mahonia aquifolium","physiology",1,"I",1.134654759,1.019363804
"Kaufman and Smouse (2001)","Melaleuca quinquenervia","physiology",1,"I",1.014052049,0.366919103
"Cano et al. (2008)","Senecio pterophorus","physiology",1,"I",1.118271984,0.073911861
"Wolfe et al. (2004)","Silene latifolia","physiology",1,"I",0.764166564,5.481067894
"van Kleunen and Schmid (2003)","Solidago canadensis","physiology",1,"I",1.045870034,2.413308651
"Guesewell et al. (2006)","Solidago gigantea","physiology",1,"I",2.361237832,2.756090969
"Schlaepfer et al. (2010)","Solidago gigantea","physiology",1,"I",1.743458005,2.942603889
"Bossdorf et al. (2004 - Divers Distrib)","Alliaria petiolata","reproduction",1,"I",0.728755213,1.597940142
